Grade,Subject,Unit,Chapter,Topic_ID,Topic,Concept,concept_code,CoreConcept,CooboTitles,Scriptwriting,MediaFile,Production,LengthofCoboo,test
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Zona Glomerulosa,newkg8366,Adrenal Cortex,The Adrenal Gland,3,3,3,2,6
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Corticoids,newkg8367,Adrenal Cortex,Corticosteroids,1,3,0,0,7
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Glucocorticoids,newkg8368,Adrenal Cortex,Corticosteroids,3,3,4,0,4
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Mineralocorticoids,newkg8369,Adrenal Cortex,Corticosteroids,1,4,4,0,10
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Cortisol,newkg8370,Adrenal Cortex,Corticosteroids,2,1,1,2,8
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Aldosterone,newkg8371,Adrenal Cortex,Corticosteroids,3,2,0,0,9
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Androgenic Steroids,newkg8373,Adrenal Cortex,Corticosteroids,1,3,0,0,5
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Adrenal Medulla,newkg8359,Adrenal Gland,The Adrenal Gland,0,0,0,0,10
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Adrenal Cortex,newkg8360,Adrenal Gland,The Adrenal Gland,4,3,1,2,8
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Addison's Disease,newkg8361,Adrenal Gland,Adrenal medullary hormones and diseases,3,0,0,0,7
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Adrenaline,newkg8362,Adrenal Medulla,Adrenal medullary hormones and diseases,2,3,4,4,9
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Noradrenaline,newkg8363,Adrenal Medulla,Adrenal medullary hormones and diseases,1,1,1,3,7
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122978,The Root,Adventitious Storage Roots,newkg7686,Adventitious Root Modification,Modifications of Root,1,1,3,3,6
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122978,The Root,Adventitious Roots for Mechanical Support,newkg7692,Adventitious Root Modification,Not required,1,2,0,0,6
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122978,The Root,Prop Roots,newkg7693,Adventitious Roots for Mechanical Support,Modifications of Root,4,4,2,2,8
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122978,The Root,Stilt Roots,newkg7694,Adventitious Roots for Mechanical Support,Modifications of Root,2,1,0,0,9
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122978,The Root,Buttress Roots,newkg7695,Adventitious Roots for Mechanical Support,Not required,0,0,0,0,4
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122978,The Root,Climbing Roots,newkg7696,Adventitious Roots for Mechanical Support,Not required,3,3,1,3,8
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122979,The Stem,Cladodes,newkg7717,Aerial Stem Modification,Modifications of Stem,2,4,0,0,4
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122979,The Stem,Tendrils,newkg7718,Aerial Stem Modification,Modifications of Stem,0,0,0,0,8
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122979,The Stem,Succulent Stem,newkg7719,Aerial Stem Modification,Modifications of Stem,3,4,1,2,5
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122979,The Stem,Thorns,newkg7720,Aerial Stem Modification,Modifications of Stem,3,4,3,4,10
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122979,The Stem,Climbing Stems,newkg7731,Aerial Stem Modification,Modifications of Stem,1,3,3,2,6
11,Biology,Plant Physiology,Respiration in Plants,New,Introduction to Respiration in Plants,Mechanism of Aerobic Respiration,newkg7033,Aerobic Respiration,Aerobic Respiration,2,3,4,1,4
11,Biology,Plant Physiology,Respiration in Plants,123034,Aerobic Respiration,Summary of Products of Aerobic Respiration,newkg7042,Aerobic Respiration,Aerobic Respiration,2,3,4,2,8
11,Biology,Plant Physiology,Respiration in Plants,123034,Aerobic Respiration,Electron Transport Chain,newkg7043,Aerobic Respiration,Aerobic Respiration,1,2,1,2,10
11,Biology,Plant Physiology,Respiration in Plants,123034,Aerobic Respiration,Oxidative Phosphorylation,newkg7049,Aerobic Respiration,Aerobic Respiration,4,3,4,0,7
11,Biology,Plant Physiology,Respiration in Plants,123034,Aerobic Respiration,Factors Affecting the Rate of Respiration,newkg7052,Aerobic Respiration,Aerobic Respiration,3,4,0,0,4
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Valvate Aestivation in Calyx,newkg7873,Aestivation of Calyx,Aestivation of Calyx,1,0,0,0,9
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Twisted Aestivation in Calyx,newkg7874,Aestivation of Calyx,Aestivation of Calyx,0,0,0,0,9
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Imbricate Aestivation in Calyx,newkg7875,Aestivation of Calyx,Aestivation of Calyx,0,0,0,0,4
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Quincuncial Aestivation in Calyx,newkg7876,Aestivation of Calyx,Aestivation of Calyx,0,0,0,0,10
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Valvate Aestivation in Corolla,newkg7883,Aestivation of Corolla,Aestivation of Corolla,0,0,0,0,4
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Twisted Aestivation in Corolla,newkg7884,Aestivation of Corolla,Aestivation of Corolla,3,0,0,0,9
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Imbricate Aestivation in Corolla,newkg7885,Aestivation of Corolla,Aestivation of Corolla,3,3,4,2,8
11,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,122981,The Flower,Quincuncial Aestivation in Corolla,newkg7886,Aestivation of Corolla,Aestivation of Corolla,0,0,0,0,5
11,Biology,Diversity in the Living World,Animal Kingdom,122975,Classification of Animals,Class Cyclostomata,newkg7310,Agnatha,Class Cyclostomata,4,0,0,0,7
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Classification of Algae,newkg7100,Algae,Algae,1,1,3,1,6
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Chlorophyceae,newkg7101,Algae,Classification of Algae,0,0,0,0,8
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Phaeophyceae,newkg7102,Algae,Classification of Algae,4,1,4,1,7
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Rhodophyceae,newkg7104,Algae,Classification of Algae,1,0,0,0,5
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Photosynthetic Pigments in Algae,newkg7106,Algae,Algae,4,2,0,0,6
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Vegetative Reproduction in Algae,newkg7107,Algae,Reproduction in Algae,2,4,4,2,4
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Asexual Reproduction in Algae,newkg7108,Algae,Reproduction in Algae,4,0,0,0,10
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Sexual Reproduction in Algae,newkg7109,Algae,Reproduction in Algae,1,2,2,1,6
11,Biology,Diversity in the Living World,Plant Kingdom,122968,Algae,Uses of Algae,newkg7110,Algae,Algae,3,1,0,0,5
11,,Diversity in the Living World,,122968,Algae,Life cycle of Algae,newkg7111,Algae,Algae,3,2,0,0,9
11,Mathematics,Algebra,Probability,122640,Events,Complement of an Event,newkg9371,Algebra of Events,Axiomatic Approach to Probability,3,2,3,0,6
11,Mathematics,Algebra,Probability,122642,Axiomatic Approach to Probability,Complement Rule of Probability,newkg9381,Algebra of Probability,Axiomatic Approach to Probability,3,2,2,0,6
11,Mathematics,Algebra,Probability,122642,Axiomatic Approach to Probability,Addition Theorem of Probability,newkg9382,Algebra of Probability,Axiomatic Approach to Probability,1,0,0,0,4
11,Mathematics,Algebra,Probability,122642,Axiomatic Approach to Probability,Addition Theorem of Probability for Mutually Exclusive Events,newkg9383,Algebra of Probability,Axiomatic Approach to Probability,3,1,1,4,9
11,Mathematics,Algebra,Probability,122642,Axiomatic Approach to Probability,Probability of Occurrence of Exactly One Event a or B,newkg9384,Algebra of Probability,Axiomatic Approach to Probability,0,0,0,0,6
11,Mathematics,Algebra,Probability,122642,Axiomatic Approach to Probability,Addition Theorem of Probability for Three Events,newkg9385,Algebra of Probability,Axiomatic Approach to Probability,3,3,4,0,7
11,Mathematics,Algebra,Probability,122642,Axiomatic Approach to Probability,Probability of Occurrence of Event A But Not B,newkg9389,Algebra of Probability,Axiomatic Approach to Probability,1,0,0,0,10
11,Mathematics,Algebra,Probability,123132,Conditional Probability and Multiplication Theorem,Multiplication Rule of Probability,newkg9392,Algebra of Probability,Axiomatic Approach to Probability,4,0,0,0,4
11,Mathematics,Algebra,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Addition of Two Complex Numbers in Algebraic Form,newkg9269,Algebraic Operations on Complex Numbers,Algebraic Operations on Complex Numbers,2,2,0,0,7
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Subtraction of Two Complex Numbers in Algebraic Form,newkg9276,Algebraic Operations on Complex Numbers,Algebraic Operations on Complex Numbers,0,0,0,0,7
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Multiplication of Two Complex Numbers in Algebraic Form,newkg9283,Algebraic Operations on Complex Numbers,Algebraic Operations on Complex Numbers,1,1,1,3,10
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Division of Two Complex Numbers in Algebraic Form,newkg9290,Algebraic Operations on Complex Numbers,Algebraic Operations on Complex Numbers,2,3,0,0,7
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Algebraic Identities in Complex Numbers,newkg9297,Algebraic Operations on Complex Numbers,Algebraic Operations on Complex Numbers,4,1,4,2,7
11,Mathematics,,Complex Numbers and Quadratic Equations,122568,The Modulus and the Conjugate of a Complex Number,Conjugate of a Complex Number,newkg9298,Algebraic Operations on Complex Numbers,Algebraic Operations on Complex Numbers,2,2,4,3,5
11,Mathematics,Differential Calculus,Relations and Functions,122556,Algebra of Real Functions,Addition of Two or More Functions,newkg9467,Algebraic Operations on Functions,Algebra of Real Functions,0,0,0,0,5
11,Mathematics,Differential Calculus,Relations and Functions,122556,Algebra of Real Functions,Subtraction of Two or More Functions,newkg9468,Algebraic Operations on Functions,Algebra of Real Functions,1,3,0,0,6
11,Mathematics,Differential Calculus,Relations and Functions,122556,Algebra of Real Functions,Multiplication of Two or More Functions,newkg9469,Algebraic Operations on Functions,Algebra of Real Functions,1,0,0,0,8
11,Mathematics,Differential Calculus,Relations and Functions,122556,Algebra of Real Functions,Multiplication of a Function by a Scalar,newkg9470,Algebraic Operations on Functions,Algebra of Real Functions,3,0,0,0,5
11,Mathematics,Differential Calculus,Relations and Functions,122556,Algebra of Real Functions,Division of Two Functions,newkg9471,Algebraic Operations on Functions,Algebra of Real Functions,2,0,0,0,7
11,Mathematics,Differential Calculus,Relations and Functions,122556,Algebra of Real Functions,Properties of Algebraic Operations on Functions,newkg9472,Algebraic Operations on Functions,Algebra of Real Functions,1,3,0,0,8
11,Mathematics,Algebra,Sets,122549,Operations on Sets,Union of Two Sets,newkg9979,Algebraic Operations on Sets,Operations on Sets,1,1,2,4,7
11,Mathematics,Algebra,Sets,122549,Operations on Sets,Union of Three Sets,newkg9984,Algebraic Operations on Sets,Operations on Sets,0,0,0,0,7
11,Mathematics,Algebra,Sets,122549,Operations on Sets,Intersection of Two Sets,newkg9988,Algebraic Operations on Sets,Operations on Sets,1,4,3,4,10
11,Mathematics,Algebra,Sets,122550,Difference of Sets,Difference of Two Sets,newkg9991,Algebraic Operations on Sets,Operations on Sets,3,2,1,2,7
11,Mathematics,Algebra,Sets,122551,Complement of a Set,Complement of a Set,newkg9997,Algebraic Operations on Sets,Operations on Sets,4,4,3,3,6
11,Mathematics,Algebra,Sets,122551,Complement of a Set,Important Results on Number of Element in Sets Union and Intersection,newkg10005,Algebraic Operations on Sets,Operations on Sets,0,0,0,0,10
11,Mathematics,Algebra,Sets,122549,Operations on Sets,Properties of Algebraic Operations on Sets,newkg10006,Algebraic Operations on Sets,Operations on Sets,1,1,3,2,10
11,Mathematics,Algebra,Sets,122552,Practical Problems on Union and Intersection of Two Sets,Practical Problems on Union and Intersection of Two Sets,newkg10025,Algebraic Operations on Sets,Operations on Sets,3,1,0,0,10
11,Mathematics,Algebra,Set Theory and Relations,122553,Cartesian Products of Sets,Non-commutative Property of Cartesian Product of Sets,newkg10032,Algebraic Properties of Cartesian Product of Sets,Cartesian Products of Sets,0,0,0,0,5
11,Mathematics,Algebra,Set Theory and Relations,122553,Cartesian Products of Sets,Associative Property of Cartesian Product of Sets,newkg10033,Algebraic Properties of Cartesian Product of Sets,Cartesian Products of Sets,4,1,2,0,7
11,Mathematics,Algebra,Set Theory and Relations,122553,Cartesian Products of Sets,Distributive Property of Cartesian Product over Intersection,newkg10034,Algebraic Properties of Cartesian Product of Sets,Cartesian Products of Sets,1,4,2,2,10
11,Mathematics,Algebra,Set Theory and Relations,122553,Cartesian Products of Sets,Distributive Property of Cartesian Product over Union,newkg10035,Algebraic Properties of Cartesian Product of Sets,Cartesian Products of Sets,4,0,0,0,10
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Closure Property of Sum of Complex Numbers,newkg9307,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,4,3,3,4,9
11,Mathematics,Algebra,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Commutative Property of Sum of Complex Numbers,newkg9309,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,1,0,0,0,4
11,Mathematics,Algebra,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Associative Property of Sum of Complex Numbers,newkg9310,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,4,3,1,1,8
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Additive Identity of Complex Numbers,newkg9311,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,1,4,2,2,9
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Additive Inverse of Complex Numbers,newkg9312,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,2,1,4,1,10
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Closure Property of Product of Complex Numbers,newkg9313,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,4,3,0,0,5
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Commutative Property of Product of Complex Numbers,newkg9314,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,0,0,0,0,10
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Associative Property of Product of Complex Numbers,newkg9315,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,1,0,0,0,4
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Multiplicative Identity of Complex Numbers,newkg9316,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,4,2,4,0,8
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Multiplicative Inverse of Complex Numbers,newkg9317,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,4,1,2,0,8
11,Mathematics,,Complex Numbers and Quadratic Equations,122567,Algebra of Complex Numbers,Distributive Property of Product of Complex Numbers,newkg9318,Algebraic Properties of Operations on Complex Numbers,Algebraic Properties of Operations on Complex Numbers,0,0,0,0,4
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Mouth,newkg7340,Alimentary Canal,Alimentary Canal,4,3,1,3,5
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Buccal Cavity,newkg7341,Alimentary Canal,Alimentary Canal,2,1,0,0,8
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Pharynx,newkg7355,Alimentary Canal,Alimentary Canal,1,0,0,0,5
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Oesophagus,newkg7356,Alimentary Canal,Alimentary Canal,4,1,3,1,5
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Stomach,newkg7359,Alimentary Canal,Alimentary Canal,0,0,0,0,9
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Small Intestine,newkg7361,Alimentary Canal,Alimentary Canal,1,0,0,0,5
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Large Intestine,newkg7365,Alimentary Canal,Alimentary Canal,1,3,2,1,7
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Anus,newkg7370,Alimentary Canal,Alimentary Canal,2,0,0,0,4
11,Biology,Human Physiology,Digestion and Absorption,123042,The Human Digestive System,Wall of Alimentary Canal,newkg7371,Alimentary Canal,Alimentary Canal,4,3,3,1,7
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of Root,newkg8292,Anatomy of a Plant Body,Root Anatomy,3,3,3,3,5
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of Dicot Root,newkg8293,Anatomy of a Plant Body,Root Anatomy,1,4,1,3,9
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of Monocot Root,newkg8296,Anatomy of a Plant Body,Root Anatomy,2,2,4,0,9
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of Stem,newkg8299,Anatomy of a Plant Body,Stem Anatomy,3,2,2,3,9
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of Leaf,newkg8306,Anatomy of a Plant Body,Leaf Anatomy,0,0,0,0,5
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122990,Secondary Growth in Plants,Secondary Growth in Plants,newkg8311,Anatomy of a Plant Body,Secondary Growth in Plants,1,1,1,1,5
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122987,Plant Tissues,Plant Tissue,newkg8204,Anatomy of Flowering Plants,Plant Tissue,4,1,2,0,8
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of a Plant Body,newkg8291,Anatomy of Flowering Plants,Plant Tissue,4,0,0,0,10
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Dicot Leaf,newkg8307,Anatomy of Leaf,Leaf Anatomy,3,0,0,0,8
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Monocot Leaf,newkg8309,Anatomy of Leaf,Leaf Anatomy,0,0,0,0,10
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of Dicot Stem,newkg8300,Anatomy of Stem,Stem Anatomy,3,1,0,0,10
11,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,122989,Anatomy of Dicotyledonous and Monocotyledonous Plants,Anatomy of Monocot Stem,newkg8303,Anatomy of Stem,Stem Anatomy,3,4,4,2,5
11,Chemistry,Physical Chemistry,States of Matter,122937,Liquifaction of Gases,Analysis of Andrew's Isotherms,newkg18131,Andrew's Isotherms,Andrew's Isotherms,4,0,0,0,7
